1.0000, 0.0139, 0.0076, 0.0094, 0.0076, 0.0096, 0.0119, 0.0095, 0.0079, 0.0097, 0.0078
0.0139, 1.0000, 0.0068, 0.0118, 0.0073, 0.0127, 0.1924, 0.0100, 0.0063, 0.0102, 0.0074
0.0076, 0.0068, 1.0000, 0.0592, 0.0050, 0.0592, 0.0173, 0.0036, 0.0050, 0.0036, 0.0017
0.0094, 0.0118, 0.0592, 1.0000, 0.0592, 0.0163, 0.0592, 0.0173, 0.0034, 0.0050, 0.0036
0.0076, 0.0073, 0.0050, 0.0592, 1.0000, 0.0034, 0.0163, 0.0592, 0.0016, 0.0034, 0.0050
0.0096, 0.0127, 0.0592, 0.0163, 0.0034, 1.0000, 0.0592, 0.0050, 0.0592, 0.0173, 0.0036
0.0119, 0.1924, 0.0173, 0.0592, 0.0163, 0.0592, 1.0000, 0.0592, 0.0163, 0.0592, 0.0173
0.0095, 0.0100, 0.0036, 0.0173, 0.0592, 0.0050, 0.0592, 1.0000, 0.0034, 0.0163, 0.0592
0.0079, 0.0063, 0.0050, 0.0034, 0.0016, 0.0592, 0.0163, 0.0034, 1.0000, 0.0592, 0.0050
0.0097, 0.0102, 0.0036, 0.0050, 0.0034, 0.0173, 0.0592, 0.0163, 0.0592, 1.0000, 0.0592
0.0078, 0.0074, 0.0017, 0.0036, 0.0050, 0.0036, 0.0173, 0.0592, 0.0050, 0.0592, 1.0000
